makeUpArtistEmail,makeUpSpeciality,price
suzan12@gmail.com,Purim,352
suzan12@gmail.com,Brides,990
loren@gmail.com,Brides,1000
loren@gmail.com,Purim,250
din33@gmail.com,Purim,330
RommyM@gmail.com,Brides,1500
RommyM@gmail.com,Beauty,500
RommyM@gmail.com,Purim,500
Lior@gmail.com,Brides,2000
Lior@gmail.com,Beauty,550
Lior@gmail.com,Purim,450
Shir@gmail.com,Purim,260
MikyBoganim1@gmail.com,Purim,450
MikyBoganim1@gmail.com,Brides,1900
CL@gmail.com,Purim,450
shirli@gmail.com,Brides,1600
